Apt,Operations
MKE,"111,712"
MKG,"23,767"
MKK,"40,541"
MKL,"22,512"
MLB,"116,468"
MLI,"32,472"
MLU,"30,613"
MMU,"77,156"
MOB,"71,612"
MOD,"45,190"
MOT,"27,912"
MQY,"102,954"
MRI,"151,400"
MRY,"69,320"
MSN,"87,578"
MSO,"36,617"
MSP,"406,913"
MSY,"136,662"
MTN,"83,609"
MVY,"35,683"
MWA,"18,956"
MWC,"26,030"
MWH,"77,335"
MYF,"226,599"
MYR,"123,323"
NEW,"65,188"
NQA,"27,566"
OAJ,"1,332"
OAK,"241,733"
OCF,"69,747"
OGD,"96,145"
OGG,"149,031"
OJC,"39,656"
OKC,"110,063"
OLM,"53,568"
OLV,"55,851"
OMA,"101,532"
OMN,"99,584"
ONT,"100,454"
OPF,"154,167"
ORD,"903,747"
ORF,"72,820"
ORH,"19,225"
ORL,"104,046"
OSH,"74,558"
OSU,"79,580"
OTH,"16,887"
OUN,"48,620"
OWB,"16,384"
OWD,"65,014"
OXC,"31,448"
OXR,"73,798"
PAE,"115,201"
PAH,"23,186"
PAO,"146,181"
PBI,"139,915"
PDK,"151,132"
PDT,"14,872"
PDX,"233,993"
PGD,"75,685"
PHF,"64,791"
PHL,"379,657"
PHX,"434,252"
PIA,"36,836"
PIE,"134,478"
PIH,"27,360"
PIT,"151,414"
PKB,"31,996"
PMD,"25,235"
PMP,"142,288"
PNE,"58,767"
PNS,"116,747"
POC,"86,219"
POU,"53,466"
PRC,"235,554"
PSC,"46,890"
PSP,"57,667"
PTK,"131,104"
PUB,"196,372"
PVD,"70,948"
PVU,"85,392"
PWA,"49,847"
PWK,"78,831"
PWM,"56,926"
RAL,"105,583"
RAP,"45,081"
RBD,"40,540"
RDD,"67,966"
RDG,"46,389"
RDM,"67,519"
RDU,"210,642"
RFD,"40,458"
RHV,"167,739"
RIC,"100,808"
RME,"20,785"
RNM,"98,419"
RNO,"93,787"
RNT,"143,402"
ROA,"53,055"
ROC,"82,978"
ROG,"13,058"
ROW,"30,011"
RST,"43,054"
RSW,"82,418"
RVS,"197,277"
RYN,"90,014"
RYY,"70,630"
SAC,"111,309"
SAF,"62,331"
SAN,"225,058"
SAT,"165,545"
SAV,"96,845"
SAW,"16,694"
SBA,"100,667"
SBN,"43,648"
SBP,"80,478"
SBY,"46,397"
SCK,"84,041"
SDF,"169,699"
SDL,"166,191"
SDM,"78,046"
SEA,"438,391"
SEE,"245,873"
SFB,"321,139"
SFF,"59,236"
SFO,"470,166"
SGF,"57,864"
SGJ,"155,442"
SGR,"67,691"
SHV,"40,143"
SIG,"89,060"
SJC,"195,627"
SJT,"63,201"
SJU,"143,327"
SLC,"337,404"
SLE,"40,107"
SLN,"68,346"
SMF,"129,959"
SMO,"72,245"
SMX,"35,417"
SNA,"334,529"
SNS,"68,951"
SPG,"83,918"
SPI,"27,612"
SQL,"94,083"
SRQ,"119,560"
SSF,"111,545"
STC,"30,490"
STJ,"19,723"
STL,"194,312"
STP,"40,116"
STS,"85,060"
STT,"47,903"
STX,"29,311"
SUA,"106,701"
SUN,"24,393"
SUS,"99,875"
SUX,"18,311"
SWF,"43,029"
SWO,"73,976"
SYR,"67,414"
TCL,"42,888"
TEB,"174,747"
TIW,"89,631"
TIX,"86,873"
TKI,"157,234"
TLH,"70,742"
TMB,"260,491"
TOA,"111,146"
TOL,"32,574"
TOP,"18,863"
TPA,"206,958"
TRI,"37,532"
TTD,"128,373"
TTN,"103,163"
TUL,"94,426"
TUP,"54,056"
TUS,"134,191"
TVC,"84,089"
TWF,"29,375"
TXK,"25,301"
TYR,"32,835"
TYS,"115,786"
TZR,"19,723"
UAO,"63,003"
UES,"44,044"
UGN,"42,041"
UNV,"28,441"
VCT,"55,878"
VCV,"26,947"
VGT,"168,748"
VNY,"255,855"
VQQ,"81,577"
VRB,"244,943"
WDG,"40,648"
WHP,"82,781"
WJF,"48,908"
XNA,"44,380"
YIP,"58,412"
YKM,"39,444"
YNG,"22,726"
